WORD,MEANING
abandon,"[MEANING 1]n.放纵: carefree, freedom from constraint
[MEANING 2]v. 放纵: to give (oneself) over unrestrainedly
[MEANING 3]v. 放弃: to withdraw from often in the face of danger or encroachment
[MEANING 4]v.停止做某事: to put an end to (something planned or previously agreed to)"
abase,"[MEANING 1]v.降低(地位、职位、威望或尊严): to lower in rank, office, prestige, or esteem"
abash,"[MEANING 1]vt.使尴尬，使羞愧: to destroy the self-possession or self-confidence of ,disconcert, embarrass"
abate,"[MEANING 1]v.减轻(程度或者强度): to reduce in degree or intensity
[MEANING 2]v.减少(数量或者降低价值): to reduce in amount or value
[MEANING 3]v.停止，撤销: to put an end to"
abbreviate,[MEANING 1]v.缩写，缩短: to make briefer
abdicate,[MEANING 1]v.正式放弃(权力、责任): to renounce a throne，to relinquish (power or responsibility) formally
aberrant,[MEANING 1]adj.异常的，非常规的: deviating from the usual or natural type
abet,"[MEANING 1]v.帮助，怂恿: to assist or support in the achievement of a purpose
[MEANING 2]v.鼓励: to actively encourage (as an activity or plan)"
abeyance,[MEANING 1]n.中止，搁置: temporary inactivity
abhor,[MEANING 1]vt.深恶痛绝，极度厌恶: to regard with extreme repugnance
abiding,[MEANING]vt. 永久的: lasting for a long time; enduring
abject,"[MEANING 1]adj.无精打采的: cast down in spirit, spiritless
[MEANING 2]adj.(地位、身份)悲惨、凄凉的: sunk to or existing in a low state or condition
[MEANING 3]adj.卑微的，讨好的: expressing or offered in a humble and often ingratiating spirit"
abjure,"[MEANING 1]v.发誓放弃: a firm and final rejecting or abandoning often made under oath
[MEANING 2]v.抵制，避免: to resist the temptation of"
abnegate,"[MEANING 1]v.否认: deny, renounce
[MEANING 2]v.投降，放弃，交出(权力等): surrender, relinquish"
abominate,"[MEANING 1]v.憎恶: to hate or loathe intensely, abhor"
aboveboard,[MEANING 1]adj.无欺诈的，光明正大的: free from all traces of deceit or duplicity
abrade,[MEANING 1]v.磨损，精神上折磨: to rub or wear away especially by friction; wear down spiritually
abridge,"[MEANING 1]v.缩短，缩小: to shorten in duration or extent
[MEANING 2]v.在不改变本意的条件下删减词语，缩写: to shorten by omission of words without sacrifice of sense"
abrogate,"[MEANING 1]v.官方的正式废除: to abolish by authoritative action, annul
[MEANING 2]v.无视(某事的)存在: to treat as nonexistent"
abscond,[MEANING 1]v.偷偷离开: to depart secretly and hide oneself
absolute,"[MEANING 1]adj.专制的: unconstrained by constitutional or other provisions
[MEANING 2]adj.无限的: unqualified in extent or degree; total
[MEANING 3]adj.完美的、纯净不掺杂的: free from imperfection; free or relatively free from mixture
[MEANING 4]adj.不容置疑的，确凿的: positive, unquestionable"
absolve,"[MEANING 1]v.使无罪，解除责任: to set free from an obligation or the consequences of guilt, exculpate"
abstain,[MEANING 1]v.自我克制，主动戒绝: to refrain from something by one's own choice
abstemious,"[MEANING 1]adj.(吃喝等)有节制的，节俭的: marked by restraint especially in the consumption of food or alcohol, sparring"
abstract,"[MEANING 1]vt.做总结，概括: to make an abstract of，summarize
[MEANING 2]vt.使分心: to draw away the attention of"
abstruse,[MEANING 1]adj.难以理解的: difficult to comprehend : recondite
absurd,"[MEANING 1]adj.不合理的: ridiculously unreasonable, unsound, or incongruous"
abundant,[MEANING 1]adj.大量的: marked by great plenty (as of resources)
abuse,"[MEANING 1]v.辱骂抨击: language that condemns or vilifies usually unjustly, intemperately, and angrily
[MEANING 2]v.不正当不合理使用: to put to a wrong or improper use;过分过量使用: to use excessively"
abut,[MEANING 1]v.邻接，毗邻: to touch at one end or side; lie adjacent
abysmal,"[MEANING 1]adj.极低的或极可怜的: immeasurably low or wretched
[MEANING 2]adj.(程度)很深的、极端的: immeasurably great"
accede,"[MEANING 1]v.赞成: to express approval or give consent
[MEANING 2]v.就任，就职: to arrive at or come into an office or dignity:"
accelerate,"[MEANING 1]v.加速: to cause to move faster
[MEANING 2]v.使提前发生: to bring about at an earlier time
[MEANING 3]v.变大，变多: to become greater in size, extent, volume, amount, or number"
accessible,"[MEANING 1]adj.可以到达的: situated within easy reach
[MEANING 2]adj.可理解的: capable of being understood or appreciated
[MEANING 3]adj.能够获得的: possible to get"
accessory,"[MEANING 1]adj.辅助的，附属的: having a secondary, supplementary, or subordinate function
[MEANING 2]n.帮凶: one associated with another in wrongdoing"
accidental,"[MEANING 1]adj.意外发生的，偶然的: occurring unexpectedly or by chance
[MEANING 2]adj.附带的，不重要的: not being a vital part of or belonging to something"
acclimate,[MEANING 1]vt.使适应: to change (something) so as to make it suitable for a new use or situation
