WORD,MEANING,DESC
tantrum,[MEANING 1]n.勃然大怒，发脾气: a fit of bad temper,"[MEANING 1]n.勃然大怒，发脾气: a fit of bad temper
[EXAMPLE]had a tantrum大发脾气
[SYNONYMS]blowup, explosion, fit
[ANTONYM]pacification 平静"
amenity,"[MEANING 1]n.(环境，设备等的)舒适，人性化: something that conduces to comfort, convenience, or enjoyment
[MEANING 2]n.融洽，和谐: the quality of being pleasant or agreeable","[MEANING 1]n.(环境，设备等的)舒适，人性化: something that conduces to comfort, convenience, or enjoyment
[EXAMPLE]the amenity of the new surroundings新环境的宜人之处
[SYNONYMS]comfort, convenience, affability
[MEANING 2]n.融洽，和谐: the quality of being pleasant or agreeable
[EXAMPLE]a discussion conducted in perfect amenity在和谐融洽的气氛中进行的讨论
[SYNONYMS]agreeability, cordiality, harmony, accord, concord, consonance
[ANTONYM]discordance, inharmony 不和谐"
quaver,[MEANING 1]vt.发颤音: to speak in a quivering voice; utter a quivering sound,"[MEANING 1]vt.发颤音: to speak in a quivering voice; utter a quivering sound
[EXAMPLE]His voice quavered during the speech.，整个演讲过程中，他的声音都是颤抖的。
[SYNONYMS]temble，trill"
military,"[MEANING 1]adj.军事的，军用的: of or relating to soldiers, arms, or war","[MEANING 1]adj.军事的，军用的: of or relating to soldiers, arms, or war
[EXAMPLE]NATO struggles with how to proceed military operation against Libya. 北约就如何延续针对利比亚的 军事行动出现了内部分歧。 an encyclopedia of modern military aircraft现代军用飞行器百科全书
[SYNONYMS]martial, service
[ANTONYM]civilian 民用的"
pen,"[MEANING 1]n.监狱: a place of confinement for persons held in lawful custody
[MEANING 2]v.关押，监禁: to close or shut in by or as if by barriers","[MEANING 1]n.监狱: a place of confinement for persons held in lawful custody
[EXAMPLE]spent six years in a federal pen在联邦监狱中度过了六年
[SYNONYMS]bastille, coop, jail, prison, stockade
[MEANING 2]v.关押，监禁: to close or shut in by or as if by barriers
[EXAMPLE]remember to pen up the dogs when visitors come over客人来的时{蒺别忘了把狗给关起来
[SYNONYMS]box, encage, encase, envelop, fence, hedge, immure, include, wall
[ANTONYM]release 释放；enfranchise, free, liberate, set free 使自由"
rein,"[MEANING 1]n.抑制，限制: the act or practice of keeping something (as an activity) within certain boundaries
[MEANING 2]vi.抑制，控制: to keep from exceeding a desirable degree or level (as of expression)","[MEANING 1]n.抑制，限制: the act or practice of keeping something (as an activity) within certain boundaries
[EXAMPLE]The oversight committee called on the corporation to keep a much tighter rein on the activities of its contractors.监督委员会要求这个公司对其承包商的行为采取更为严格的管控。
[SYNONYMS]circumscription, confinement, limitation, stint
[MEANING 2]vi.抑制，控制: to keep from exceeding a desirable degree or level (as of expression)
[EXAMPLE]A good man knows how to rein in his temper.君子知道如何按捺奈住火气。
[SYNONYMS]bridle, check, constrain, contain, curb, govern, hold, inhibit, keep, measure, regulate, restrain, rule, tame
[ANTONYM]liberate,loose, loosen,unleash 释放，不再加以管束"
glaze,"[MEANING 1]vt.给...上釉，妆点: to coat with or as if with a glaze
[MEANING 2]vt.使平滑: to give a smooth glossy surface to","[MEANING 1]vt.给...上釉，妆点: to coat with or as if with a glaze
[EXAMPLE]The storm glazed trees with ice.暴风雨给树木镀上了一层冰装
[SYNONYMS]adorn, bedeck, decorate, embellish, garnish
[ANTONYM]strip, uncover剥去
[MEANING 2]vt.使平滑: to give a smooth glossy surface to
[SYNONYMS]polish, burnish, furbish, shine
[ANTONYM]rumple 弄皱"
secrete,"[MEANING 1]vt.隐藏: to conceal in a hiding place; cache
[MEANING 2]vt.分泌: to generate and separate (a substance) from cells or bodily fluids","[MEANING 1]vt.隐藏: to conceal in a hiding place; cache
[EXAMPLE]The police found the weapon secreted under the driver's seat of the getaway car.警方在逃逸车辆驾驶 座下发现了隐藏的武器。
[SYNONYMS]bury, cache, conceal, ensconce
[ANTONYM]divulge, display, exhibit 泄密，展示
[MEANING 2]vt.分泌: to generate and separate (a substance) from cells or bodily fluids
[ANTONYM]absorb 吸收"
novel,"[MEANING 1]adj.新奇的: strikingly new, unusual, or different","[MEANING 1]adj.新奇的: strikingly new, unusual, or different
[EXAMPLE]a novel scheme to collect money 一种新颖的筹钱手段
[SYNONYMS]original, unaccustomed, unfamiliar, unheard-of, unknown, unprecedented
[ANTONYM]banal, timeworn, familiar, hackneyed, time-honored, tired, warmed-over 陈腐的"
suffocate,[MEANING 1]vt.使窒息: to deprive of oxygen,"[MEANING 1]vt.使窒息: to deprive of oxygen
[EXAMPLE]The law requires the owner of a discarded refrigerator to remove its door so that a child won't get trapped inside and suffocate.法律要求废弃冰箱的所有者移除箱门，从而防止儿童被困其中而窒息致死。
[SYNONYMS]asphyxiate, choke, smother, stifle, strangle
[[DERIVATIVES]]suffocating adj.令人窒息的，压抑的"
judicious,[MEANING 1]adj.明智的，慎重的: having or exhibiting sound judgment; prudent,"[MEANING 1]adj.明智的，慎重的: having or exhibiting sound judgment; prudent
[EXAMPLE]a judicious choice明智的抉择
[SYNONYMS]intelligent, judgmatic, prudent, tactical, wise
[ANTONYM]daft, imprudent, inadvisable, inexpedient, indiscrete, impolitic, unwise 愚蠢的，轻率的"
